title,link,description
TS Việt vào top 10 nhà Hóa học trẻ của Viện Hàn lâm Australia,https://vnexpress.net/ts-viet-vao-top-10-nha-hoa-hoc-tre-cua-vien-han-lam-australia-4878160.html,TS Trần Tuấn Sang là người Việt duy nhất trong 10 nhà khoa học trẻ ở lĩnh vực Hóa học do Viện Hàn lâm khoa học Australia bình chọn năm nay.
"Nhà khoa học Việt làm đê rỗng ngăn sạt lở bờ sông, biển",https://vnexpress.net/nha-khoa-hoc-viet-lam-de-rong-ngan-sat-lo-bo-song-bien-4874402.html,"Nhóm nghiên cứu Viện Sinh thái và Bảo vệ công trình đã phát triển loại ""đê thấm"" có kết cấu rỗng linh hoạt, có thể tiêu tán năng lượng sóng, giảm xói lở và hỗ trợ phục hồi hệ sinh thái ven biển. 64"
"Nhà mạng 'không để nghẽn mạng, virus phá hoại dịp nghỉ lễ 30/4'",https://vnexpress.net/nha-mang-khong-de-nghen-mang-virus-pha-hoai-dip-nghi-le-30-4-4878796.html,"Bộ Khoa học và Công nghệ yêu cầu nhà mạng đảm bảo kết nối, không để kẻ xấu lợi dụng mạng viễn thông, Internet phát tán virus trong dịp nghỉ lễ."
TikTok Việt Nam 'sẽ xử lý video tóm tắt phim trong 48 tiếng',https://vnexpress.net/tiktok-viet-nam-se-xu-ly-video-tom-tat-phim-trong-48-tieng-4878556.html,Đại diện TikTok Việt Nam cho biết nền tảng sẽ xử lý các video tóm tắt phim trong 48 tiếng sau khi nhận được báo cáo vi phạm bản quyền. 62
Trung Quốc sẽ xây nhà máy điện hạt nhân trên Mặt Trăng,https://vnexpress.net/trung-quoc-se-xay-nha-may-dien-hat-nhan-tren-mat-trang-4878374.html,Lò phản ứng do Trung Quốc hợp tác xây dựng cùng với Nga trên Mặt Trăng sẽ cung cấp điện cho trạm định cư ở cực nam vào năm 2035. 99
Tàu Thần Châu 20 chở 3 phi hành gia lên trạm Thiên Cung,https://vnexpress.net/tau-than-chau-20-cho-3-phi-hanh-gia-len-tram-thien-cung-4878369.html,TRUNG QUỐCPhi hành đoàn Thần Châu 20 bay lên trên trạm Thiên Cung sau đó tiến hành những thí nghiệm tiên tiến về tái tạo tế bào và hệ thống phối hợp người và máy. 48
Redmi Note 14 - smartphone 5G rẻ nhất của Xiaomi,https://vnexpress.net/redmi-note-14-smartphone-5g-re-nhat-cua-xiaomi-4878121.html,"Redmi Note 14 5G có giá 7,29 triệu đồng, trang bị màn hình 120 Hz, camera chống rung quang học OIS và AI tạo sinh cơ bản."
Bờ biển nguy hiểm bậc nhất thế giới,https://vnexpress.net/bo-bien-nguy-hiem-bac-nhat-the-gioi-4878309.html,"MỸĐược mệnh danh ""Nghĩa địa Đại Tây Dương"", bờ biển của chuỗi đảo chắn Outer Banks liên tục biến đổi, gây nguy hiểm cho cả tàu thuyền lẫn nhà cửa."
Startup Việt bắt tay hãng bán dẫn Mỹ đào tạo sinh viên vi mạch,https://vnexpress.net/startup-viet-bat-tay-hang-ban-dan-my-dao-tao-sinh-vien-vi-mach-4878206.html,Viện Nghiên cứu và phát triển công nghệ bán dẫn VNChip cùng Cadence Design Systems (Mỹ) ký thỏa thuận đào tạo nhân lực vi mạch chất lượng cao tại Việt Nam.
"Samsung ra TV AI, đắt nhất 500 triệu đồng",https://vnexpress.net/samsung-ra-tv-ai-dat-nhat-500-trieu-dong-4878345.html,"Samsung giới thiệu bốn dòng TV Neo QLED, OLED và The Frame thế hệ mới tích hợp AI để tăng chất lượng hình ảnh và âm thanh, điều khiển nhà thông minh."
Người làm app tại Việt Nam chuyển dịch sang xuất khẩu ứng dụng,https://vnexpress.net/nguoi-lam-app-tai-viet-nam-chuyen-dich-sang-xuat-khau-ung-dung-4878299.html,"Việt Nam hiện có hơn 1.000 nhà phát hành ứng dụng di động, trong đó tỷ trọng doanh thu từ thị trường nước ngoài ngày càng tăng."
Diện mạo các thành phố vào năm 2125,https://vnexpress.net/dien-mao-cac-thanh-pho-vao-nam-2125-4878293.html,"Vào năm 2125, các thành phố trên thế giới sẽ phát triển theo hướng bền vững, sử dụng năng lượng tái tạo và quy hoạch đô thị thông minh để đối phó hạn hán, ngập lụt và ô nhiễm."
Khối đá kỳ lạ trên Sao Hỏa,https://vnexpress.net/khoi-da-ky-la-tren-sao-hoa-4877477.html,"Các nhà khoa học NASA đang nghiên cứu chi tiết về tảng đá Skull Hill nằm ở vành miệng hố Jezero trên Sao Hỏa có góc cạnh sẫm màu, khác hoàn toàn so với cảnh vật xung quanh. 29"
'Khoa học công nghệ phải hướng tới giải bài toán lớn của quốc gia',https://vnexpress.net/khoa-hoc-cong-nghe-phai-huong-toi-giai-bai-toan-lon-cua-quoc-gia-4878011.html,"Bộ trưởng Khoa học và Công nghệ Nguyễn Mạnh Hùng cho rằng khoa học công nghệ phải hướng tới nâng cao năng lực cạnh tranh, tăng trưởng kinh tế và giải các bài toán lớn của quốc gia."
"Loạt công nghệ tối ưu hiển thị trên TV QD-Mini LED từ 15,5 triệu đồng",https://vnexpress.net/loat-cong-nghe-toi-uu-hien-thi-tren-tv-qd-mini-led-tu-15-5-trieu-dong-4878670.html,"TCL C6K dùng màn QD Mini LED có 512 phân vùng kiểm soát ánh sáng, dùng AI để tối ưu chất lượng, cạnh tranh với các sản phẩm QLED cùng tầm giá."
FPT Play và Samsung hợp tác trong thế hệ TV AI 2025,https://vnexpress.net/fpt-play-va-samsung-hop-tac-trong-the-he-tv-ai-2025-4878453.html,"Hai bên công bố hợp tác, dùng AI tối ưu trải nghiệm cho người dùng khi sử dụng ứng dụng FPT Play trên TV Samsung."
Thủ tướng kêu gọi người dân không ngừng đổi mới sáng tạo,https://vnexpress.net/thu-tuong-keu-goi-nguoi-dan-khong-ngung-doi-moi-sang-tao-4878075.html,"Thủ tướng Phạm Minh Chính cho rằng người dân, doanh nghiệp cần xây dựng năng lực sáng tạo, đẩy mạnh chuyển đổi số."
Apple và Meta bị phạt 700 triệu euro,https://vnexpress.net/apple-va-meta-bi-phat-700-trieu-euro-4878068.html,"Ủy ban châu Âu (EC) phạt Apple 500 triệu euro, Meta 200 triệu euro do vi phạm quy tắc về cạnh tranh công bằng và lựa chọn của người dùng."
Tàu chuyên chở ôtô lớn nhất thế giới,https://vnexpress.net/tau-chuyen-cho-oto-lon-nhat-the-gioi-4877950.html,Tàu BYD Thâm Quyến đang chuẩn bị hành trình đầu tiên tới Brazil với sức chứa 9.200 xe và tốc độ tối đa 35 km/h. 24
Google tiếp tục 'theo dõi' người dùng Chrome,https://vnexpress.net/google-tiep-tuc-theo-doi-nguoi-dung-chrome-4877603.html,"Google tuyên bố giữ lại cookie trên trình duyệt Chrome thay vì loại bỏ, đồng nghĩa hành vi người dùng tiếp tục bị theo dõi qua chức năng này. 22"
,https://vnexpress.net/buc-anh-he-lo-thay-doi-cua-trai-dat-sau-50-nam-4877495.html,
,https://vnexpress.net/tien-so-trump-tang-vot-hon-50-sau-loi-hen-an-toi-4877979.html,
,https://vnexpress.net/he-dieu-hanh-may-tinh-luong-tu-dau-tien-tren-the-gioi-4877947.html,
,https://vnexpress.net/thu-tuong-phat-dong-phong-trao-doi-moi-sang-tao-va-chuyen-doi-so-4877917.html,
,https://vnexpress.net/dao-dien-victor-vu-khoe-dan-may-dung-phim-tai-nha-4877874.html,
,https://vnexpress.net/lacasper-xc-09iu38-dieu-hoa-co-chi-so-tiet-kiem-dien-cao-nhat-4876932.html,
,https://vnexpress.net/intel-chuan-bi-sa-thai-hon-20-000-nhan-vien-4877893.html,
,https://vnexpress.net/chon-bo-sac-phu-hop-cho-smartphone-4877050.html,
,https://vnexpress.net/tsmc-noi-kho-kiem-soat-chip-ai-sau-khi-roi-nha-may-4877444.html,
,https://vnexpress.net/hoc-vien-cong-nghe-buu-chinh-vien-thong-phai-phat-trien-startup-ky-lan-4878260.html,
,https://vnexpress.net/viettel-xay-trung-tam-du-lieu-lon-nhat-tai-viet-nam-4877866.html,
,https://vnexpress.net/robot-hinh-nguoi-cua-elon-musk-gap-kho-vi-thieu-dat-hiem-4877743.html,
,https://vnexpress.net/dong-tien-do-vao-startup-ai-viet-tang-8-lan-4877687.html,
,https://vnexpress.net/xu-huong-cat-tia-cac-mo-hinh-ngon-ngu-lon-4877509.html,
,https://vnexpress.net/san-bay-gan-bac-cuc-nhat-dang-tan-chay-4877481.html,
,https://vnexpress.net/trung-quoc-khac-phuc-that-bai-cua-pin-lithium-the-ran-4877029.html,
,https://vnexpress.net/mau-moi-cua-iphone-17-pro-4877442.html,
